"n_SportID","c_Sport","c_SportShort","n_DateLocal","c_DateLocal","d_DateLocal","c_TimeFirstEventLocal","c_TimeFirstEventUTC","c_TimeLastEventLocal","c_TimeLastEventUTC","n_NrOfEvents","n_NrOfPhases","n_NrOfMatches","n_MedalsGold","n_MedalsSilver","n_MedalsBronze"
214,"Luge","LUG",20220204,"2022-02-04T00:00:00","/Date(1643932800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
214,"Luge","LUG",20220205,"2022-02-05T00:00:00","/Date(1644019200000+0000)/","2022-02-05T19:10:00","2022-02-05T11:10:00","2022-02-05T20:50:00","2022-02-05T12:50:00",1,2,0,0,0,0
214,"Luge","LUG",20220206,"2022-02-06T00:00:00","/Date(1644105600000+0000)/","2022-02-06T19:30:00","2022-02-06T11:30:00","2022-02-06T21:15:00","2022-02-06T13:15:00",1,2,0,1,1,1
214,"Luge","LUG",20220207,"2022-02-07T00:00:00","/Date(1644192000000+0000)/","2022-02-07T19:50:00","2022-02-07T11:50:00","2022-02-07T21:30:00","2022-02-07T13:30:00",1,2,0,0,0,0
214,"Luge","LUG",20220208,"2022-02-08T00:00:00","/Date(1644278400000+0000)/","2022-02-08T19:50:00","2022-02-08T11:50:00","2022-02-08T21:35:00","2022-02-08T13:35:00",1,2,0,1,1,1
214,"Luge","LUG",20220209,"2022-02-09T00:00:00","/Date(1644364800000+0000)/","2022-02-09T20:20:00","2022-02-09T12:20:00","2022-02-09T21:35:00","2022-02-09T13:35:00",1,2,0,1,1,1
214,"Luge","LUG",20220210,"2022-02-10T00:00:00","/Date(1644451200000+0000)/","2022-02-10T21:30:00","2022-02-10T13:30:00","2022-02-10T21:30:00","2022-02-10T13:30:00",1,1,0,1,1,1
214,"Luge","LUG",20220211,"2022-02-11T00:00:00","/Date(1644537600000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
214,"Luge","LUG",20220212,"2022-02-12T00:00:00","/Date(1644624000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
214,"Luge","LUG",20220213,"2022-02-13T00:00:00","/Date(1644710400000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
214,"Luge","LUG",20220214,"2022-02-14T00:00:00","/Date(1644796800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
214,"Luge","LUG",20220215,"2022-02-15T00:00:00","/Date(1644883200000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
214,"Luge","LUG",20220216,"2022-02-16T00:00:00","/Date(1644969600000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
214,"Luge","LUG",20220217,"2022-02-17T00:00:00","/Date(1645056000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
214,"Luge","LUG",20220218,"2022-02-18T00:00:00","/Date(1645142400000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
214,"Luge","LUG",20220219,"2022-02-19T00:00:00","/Date(1645228800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
